region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
9,7,8,146.0,38268659,122.0,2380790,146.0,7601441
12,10,11,122.0,56265932,174.0,633,147.0,875866
15,13,14,168.0,7997,147.0,3763079,122.0,1210148
